diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",absorb_all_sw,https://github.com/mom-ocean/MOM6/search?q=absorb_all_sw,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",adjust_net_fresh_water_to_zero,https://github.com/mom-ocean/MOM6/search?q=adjust_net_fresh_water_to_zero,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",adjust_net_srestore_to_zero,https://github.com/mom-ocean/MOM6/search?q=adjust_net_srestore_to_zero,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",adjust_thickness,https://github.com/mom-ocean/MOM6/search?q=adjust_thickness,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ah,https://github.com/mom-ocean/MOM6/search?q=ah,,,,,1000000000000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ah_vel_scale,https://github.com/mom-ocean/MOM6/search?q=ah_vel_scale,0.05,0.01,0.01,0.01,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ale_coordinate_config,https://github.com/mom-ocean/MOM6/search?q=ale_coordinate_config,,"HYBRID:hycom1_75_800m.nc,sigma2,FNC1:2,4000,4.5,.01","FILE:vcoord.nc,interfaces=st_edges_ocean","FILE:vcoord.nc,interfaces=st_edges_ocean","FILE:ocean_vgrid.nc,interfaces=zeta"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",archaic_omip_forcing_file,https://github.com/mom-ocean/MOM6/search?q=archaic_omip_forcing_file,False,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",bad_val_ssh_max,https://github.com/mom-ocean/MOM6/search?q=bad_val_ssh_max,,50.0,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",bad_val_sss_max,https://github.com/mom-ocean/MOM6/search?q=bad_val_sss_max,,75.0,,,
