diff,group,variable,ACCESS-OM2_1deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_025deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_01deg_jra55_ryf/ocean/input.nml
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=redsea_gulfbay_sfix"", ""redsea_gulfbay_sfix"")",False,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fms_io_nml"", ""&fms_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=checksum_required"", ""checksum_required"")",,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fms_io_nml"", ""&fms_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fileset_write"", ""fileset_write"")",single,single,multi
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fms_io_nml"", ""&fms_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=threading_write"", ""threading_write"")",single,single,multi
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fms_nml"", ""&fms_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=clock_grain"", ""clock_grain"")",LOOP,LOOP,ROUTINE
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fms_nml"", ""&fms_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=domains_stack_size"", ""domains_stack_size"")",115200,,115200
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=mpp_io_nml"", ""&mpp_io_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=deflate_level"", ""deflate_level"")",-1,5,5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_adv_vel_diag_nml"", ""&ocean_adv_vel_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",4320,4320,576
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_advection_velocity_nml"", ""&ocean_advection_velocity_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=max_advection_velocity"", ""max_advection_velocity"")",0.5,0.5,0.3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_barotropic_nml"", ""&ocean_barotropic_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",4320,4320,576
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bottom_5point"", ""bottom_5point"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_boundary_scaling"", ""ncar_boundary_scaling"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_bottom"", ""vel_micom_bottom"")",0.01,0.0,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_iso"", ""vel_micom_iso"")",0.04,0.0,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=visc_crit_scale"", ""visc_crit_scale"")",0.25,1.0,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bottom_5point"", ""bottom_5point"")",True,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=k_smag_aniso"", ""k_smag_aniso"")",0.0,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=k_smag_iso"", ""k_smag_iso"")",0.0,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=restrict_polar_visc"", ""restrict_polar_visc"")",True,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=restrict_polar_visc_lat"", ""restrict_polar_visc_lat"")",60.0,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=restrict_polar_visc_ratio"", ""restrict_polar_visc_ratio"")",0.35,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_iso"", ""vel_micom_iso"")",0.1,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lapgen_friction_nml"", ""&ocean_lapgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=viscosity_ncar"", ""viscosity_ncar"")",False,,
