diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ocean/input.nml,ACCESS-OM2_release-01deg_jra55_ryf/ocean/input.nml
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=aice_cutoff"", ""aice_cutoff"")",0.15,0.15
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=chk_i2o_fields"", ""chk_i2o_fields"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=chk_o2i_fields"", ""chk_o2i_fields"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_ice_once"", ""do_ice_once"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=fixmeltt"", ""fixmeltt"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=frazil_factor"", ""frazil_factor"")",1.0,1.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=iceform_adj_salt"", ""iceform_adj_salt"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=icemlt_factor"", ""icemlt_factor"")",1.0,1.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=kmxice"", ""kmxice"")",5,5
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=pop_icediag"", ""pop_icediag"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=sign_stflx"", ""sign_stflx"")",1.0,1.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=tmelt"", ""tmelt"")",-0.216,-0.216
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=auscom_ice_nml"", ""&auscom_ice_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_ioaice"", ""use_ioaice"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_manager_nml"", ""&diag_manager_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=debug_diag_manager"", ""debug_diag_manager"")",False,False
