diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ice/cice_in.nml,ACCESS-OM2_release-01deg_jra55_ryf/ice/cice_in.nml
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=distribution_type"", ""distribution_type"")",sectrobin,sectrobin
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=distribution_wght"", ""distribution_wght"")",latitude,latitude
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=ew_boundary_type"", ""ew_boundary_type"")",cyclic,cyclic
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=maskhalo_bound"", ""maskhalo_bound"")",True,True
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=maskhalo_dyn"", ""maskhalo_dyn"")",True,True
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=maskhalo_remap"", ""maskhalo_remap"")",True,True
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=nprocs"", ""nprocs"")",799,722
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=ns_boundary_type"", ""ns_boundary_type"")",tripole,tripole
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=processor_shape"", ""processor_shape"")",square-ice,square-ice
,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=advection"", ""advection"")",remap,remap
