diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ice/cice_in.nml,ACCESS-OM2_release-01deg_jra55_ryf/ice/cice_in.nml
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=nprocs"", ""nprocs"")",799,722
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_aice"", ""f_aice"")",m,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_alidf_ai"", ""f_alidf_ai"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_alidr_ai"", ""f_alidr_ai"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_alvdf_ai"", ""f_alvdf_ai"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_alvdr_ai"", ""f_alvdr_ai"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_congel"", ""f_congel"")",m,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_dagedtd"", ""f_dagedtd"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_dagedtt"", ""f_dagedtt"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_daidtd"", ""f_daidtd"")",x,m
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_daidtt"", ""f_daidtt"")",x,m
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_dvidtd"", ""f_dvidtd"")",x,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_dvidtt"", ""f_dvidtt"")",x,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_frazil"", ""f_frazil"")",m,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_frz_onset"", ""f_frz_onset"")",m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_frzmlt"", ""f_frzmlt"")",x,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswup"", ""f_fswup"")",,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_hi"", ""f_hi"")",m,md
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_hs"", ""f_hs"")",m,md
