diff,group,variable,MOM6-CICE6_1deg_jra55do_ryf/ice_in,MOM6-CICE6_1deg_jra55do_iaf/ice_in,MOM6-CICE6_025deg_jra55do_ryf/ice_in
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=block_size_x"", ""block_size_x"")",15,15,60
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=block_size_y"", ""block_size_y"")",20,20,54
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=distribution_type"", ""distribution_type"")",cartesian,cartesian,roundrobin
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=distribution_wght"", ""distribution_wght"")",latitude,latitude,latitude
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=maskhalo_bound"", ""maskhalo_bound"")",True,True,True
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=maskhalo_dyn"", ""maskhalo_dyn"")",True,True,True
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=maskhalo_remap"", ""maskhalo_remap"")",True,True,True
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=max_blocks"", ""max_blocks"")",15,15,-1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ns_boundary_type"", ""ns_boundary_type"")",tripole,tripole,tripole
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nx_global"", ""nx_global"")",360,360,1440
