diff,group,variable,dev-MC_100km_jra_ryf/ice_in,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=block_size_x"", ""block_size_x"")",15,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=block_size_y"", ""block_size_y"")",20,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ew_boundary_type"", ""ew_boundary_type"")",,cyclic
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=max_blocks"", ""max_blocks"")",15,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nprocs"", ""nprocs"")",,24
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nx_global"", ""nx_global"")",360,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ny_global"", ""ny_global"")",300,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=cosw"", ""cosw"")",,1.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dragio"", ""dragio"")",,0.00536
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=iceruf"", ""iceruf"")",,0.0005
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kdyn"", ""kdyn"")",,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=krdg_partic"", ""krdg_partic"")",,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=krdg_redist"", ""krdg_redist"")",,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kstrength"", ""kstrength"")",,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=mu_rdg"", ""mu_rdg"")",,3
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ndte"", ""ndte"")",,120
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=revised_evp"", ""revised_evp"")",,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dynamics_nml"", ""&dynamics_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=sinw"", ""sinw"")",,0.0
